codigo_municipio,municipio,n_unidades_economicas_urbanas,flag_universo_analitico_menor_30,poblacion_total_2023,poblacion_cabecera_2023,pct_poblacion_cabecera_2023,area_municipal_km2,densidad_poblacion_hab_km2_2023,ue_urbanas_visibles_por_1000_hab_total_2023,va_total_2023_miles_millones_cop,va_2023_por_habitante_millones_cop,distancia_lineal_nucleo_urbano_top5_km,nodo_mas_cercano,tramo_distancia,cluster,perfil,silueta_individual,distancia_centroide,margen_pertenencia,tipo_asignacion,region_contigua,candidato_polo_secundario,madurez_permanencia_observada,formalizacion_gestion,escala_capacidades,finanzas_redes,densidad_emprendedora,pct_operacion_menos_3_anios,pct_operacion_mas_10_anios,pct_persona_natural,pct_rut_si,pct_no_lleva_registros_contables,pct_ue_un_solo_trabajador_sociodemografico,pct_ue_ingresos_hasta_10m_2023,pct_propietarios_educacion_superior,promedio_reporte_medios_digitales,pct_solicito_credito_si,pct_asociacion_productores_comerciantes_si,pct_ciiu_primario_extractivo_sectorial_2023,pct_ciiu_manufactura_sectorial_2023,pct_ciiu_infraestructura_logistica_sectorial_2023,pct_ciiu_comercio_sectorial_2023,pct_ue_alojamiento_comidas_sectorial_2023,pct_ciiu_servicios_empresariales_conocimiento_sectorial_2023,pct_ciiu_servicios_sociales_personales_sectorial_2023
15001,TUNJA,13429,False,185748,177672,95.6522,119.68549812,1551.967472398067,72.29687533647738,5174.253033653417,27.85630549805876,0.0,TUNJA,Muy próximo,3,"Consolidados, densos y con mayores capacidades",0.4342563256746168,1.4704972738252189,2.1523854936527664,intermedia,5,False,-0.1205470822670042,1.790740562738715,1.7000601349746076,0.1658129217180582,2.277129011342577,57.0849,19.6025,83.9172,58.1781,24.7039,63.2151,20.5489,36.5389,28.80655,19.2125,1.0118,0.0244,4.7056,3.4621,56.7719,14.7263,6.9852,13.3244
15022,ALMEIDA,30,True,1846,370,20.0433,57.6721192,32.00853420347349,16.25135427952329,30.878700999735425,16.727356987939018,62.68465530531548,TUNJA,Muy lejano,5,Tradicionales maduros con rezagos de gestión,0.1035479931200064,1.2766059137057333,0.618025076465569,intermedia,1,False,1.2625377242269429,0.0412029712001785,-0.5427184431451062,-0.5470424840710231,-1.2759292171378958,46.6667,26.6667,93.3333,40.0,30.0,76.9231,41.6667,23.0769,13.541675,16.6667,0.0,0.0,0.0,4.1667,79.1667,8.3333,0.0,8.3333
15047,AQUITANIA,739,False,15450,6221,40.2654,942.2725889,16.39652918062297,47.83171521035599,542.1353335891429,35.089665604475265,25.69186494335513,SOGAMOSO,Intermedio,2,Emergentes con mayor articulación financiera,0.1500863963625835,1.6509460178727102,0.7534594324365109,intermedia,2,False,-1.2490699797475628,-1.30361620291213,-0.9708233104330198,0.5982984668682527,0.7261373021411822,65.6012,13.8508,96.347,23.7443,41.8569,76.5921,44.7674,17.2117,11.4011,21.7033,1.3736,0.0,2.1978,1.0989,64.8352,23.0769,1.9231,6.8681
15051,ARCABUCO,280,False,6292,2704,42.9752,137.89858801,45.62773332779682,44.50095359186268,191.6856462371052,30.464978740798664,26.564419028639964,TUNJA,Intermedio,3,"Consolidados, densos y con mayores capacidades",0.2490785534405755,0.9866780869954735,1.165086596575433,representativa,1,False,0.1421419385753603,1.6825040553149928,1.026213866164869,0.155439128594778,0.5149805539744851,56.2724,21.8638,85.3047,64.8746,31.1828,68.5484,15.9091,21.7742,31.37255,21.0784,0.4902,0.0,7.3529,1.4706,51.9608,29.902,1.9608,7.3529
15087,BELÉN,466,False,7629,4761,62.4066,163.08822008,46.77836324571898,61.082710709136194,139.81181873264768,18.326362397777917,23.01594685011073,DUITAMA,Próximo,3,"Consolidados, densos y con mayores capacidades",0.067318856222913,1.965207780501724,0.3030870762176145,intermedia,1,False,-0.1171631780951501,-0.8120416812649315,0.5936403510322994,0.0486436268560312,1.5661965558441482,58.3138,20.6089,94.1452,38.4075,49.1803,67.2457,16.8539,26.799,12.959575,20.5882,0.3676,0.0,7.7206,1.1029,53.3088,24.2647,2.2059,11.3971
15090,BERBEO,40,True,1619,454,28.042,58.01301639,27.907530081112544,24.70660901791229,37.99686863194199,23.46934442985917,44.19956645081328,TUNJA,Lejano,4,En transición con capacidades medias y baja densidad,0.3261546541833898,0.9226953069187618,0.9960002534345478,intermedia,1,False,-0.9715440897656824,-0.1647837406023031,-0.1715921868886144,-0.6456049795342855,-0.7399004345416469,60.0,12.5,92.5,40.0,37.5,75.6757,15.7895,16.2162,13.1579,15.7895,0.0,0.0,5.2632,0.0,52.6316,26.3158,0.0,15.7895
15092,BETÉITIVA,38,True,1857,353,19.0092,101.89954853,18.22382951435045,20.463112547119007,41.03960585288301,22.09994930149865,24.401991572145334,DUITAMA,Intermedio,2,Emergentes con mayor articulación financiera,0.0176423783602389,3.3258018146519976,0.2956954002087673,intermedia,1,False,1.6090708544372023,0.1763120986352636,-0.9379624405589474,2.9682003986434125,-1.008920862378478,51.7241,34.4828,89.6552,79.3103,75.8621,55.5556,62.5,18.5185,3.125,16.6667,8.3333,0.0,0.0,0.0,58.3333,20.8333,4.1667,16.6667
15097,BOAVITA,254,False,5171,2530,48.9267,145.30529111,35.58714180673169,49.12009282537227,122.83739063222195,23.75505523732778,70.07661587507008,DUITAMA,Muy lejano,5,Tradicionales maduros con rezagos de gestión,-0.0293166741049397,1.6802666659400136,0.2507963595845048,fronteriza,3,True,0.9916012926831064,0.3842937557527613,0.4111277065240359,-0.969910646036355,0.8078152061037798,46.9136,23.8683,81.07,27.572,37.4486,70.5628,18.4713,16.4502,25.403225000000003,12.9032,0.0,0.0,6.4516,2.1505,57.5269,24.7312,1.6129,7.5269
15104,BOYACÁ,94,False,5250,905,17.2381,48.02286795,109.32291685424006,17.904761904761905,148.51998087177094,28.28952016605161,8.749435470863046,TUNJA,Muy próximo,4,En transición con capacidades medias y baja densidad,0.1963862396083531,1.605468336481054,0.6044115247402038,intermedia,1,False,-1.297832549966875,-0.5430018517834693,0.0228539309301444,-1.2573733551029436,-1.1711098942536189,70.1299,16.8831,90.9091,48.0519,59.7403,73.9726,35.8491,23.2877,21.551725,10.3448,0.0,0.0,0.0,0.0,72.4138,20.6897,0.0,6.8966
15106,BRICEÑO,90,False,2259,560,24.7897,64.59970297,34.96920103563133,39.8406374501992,106.86117945070455,47.30463897773553,13.037100216774087,CHIQUINQUIRÁ,Muy próximo,2,Emergentes con mayor articulación financiera,0.2948546010159616,1.3683871857025514,1.4980805434722115,intermedia,4,False,-0.1293304567194854,-0.7611230362384106,-0.8925677790820775,1.8987420891341211,0.2195354532387637,59.5238,21.4286,91.6667,41.6667,57.1429,77.6119,38.4615,16.4179,11.111125,31.4815,1.8519,0.0,3.7037,0.0,59.2593,29.6296,0.0,7.4074
